Year,Region Code,Region,BNF Chemical Substance Code,BNF Chemical Substance,BNF Product Code,BNF Product,Items,Total number of unique identified patients,Patient Identified (Y/N),Patient Age Band (Years old),Gender,Net Ingredient Cost (£)
Dec 23 - Nov 24,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,36,27,Y,30-39,Male,"3,610.08"
Dec 23 - Nov 24,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,140,119,Y,40-49,Female,"16,245.36"
Dec 23 - Nov 24,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,73,59,Y,40-49,Male,"9,064.44"
Dec 23 - Nov 24,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,301,266,Y,50-59,Female,"44,458.92"
Dec 23 - Nov 24,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,220,203,Y,50-59,Male,"33,510.96"
Dec 23 - Nov 24,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,635,547,Y,60+,Female,"80,481.24"
Dec 23 - Nov 24,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,524,436,Y,60+,Male,"66,315.60"
Dec 23 - Nov 24,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,3,3,Y,18-29,Female,353.16
Dec 23 - Nov 24,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,2,2,Y,18-29,Male,392.4
Dec 23 - Nov 24,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,13,13,Y,30-39,Female,"1,962.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,11,10,Y,30-39,Male,"1,530.36"
Dec 23 - Nov 24,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,36,34,Y,40-49,Female,"6,670.80"
Dec 23 - Nov 24,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,7,5,Y,40-49,Male,"1,255.68"
Dec 23 - Nov 24,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,29,25,Y,50-59,Female,"3,924.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,12,11,Y,50-59,Male,"2,158.20"
Dec 23 - Nov 24,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,41,36,Y,60+,Female,"6,317.64"
Dec 23 - Nov 24,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,19,17,Y,60+,Male,"3,610.08"
Dec 23 - Nov 24,Y56,LONDON,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,2,2,Y,40-49,Female,115.86
Dec 23 - Nov 24,Y56,LONDON,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,4,4,Y,40-49,Male,231.72
Dec 23 - Nov 24,Y56,LONDON,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,9,8,Y,50-59,Female,"1,042.75"
Dec 23 - Nov 24,Y56,LONDON,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,6,6,Y,50-59,Male,637.23
Dec 23 - Nov 24,Y56,LONDON,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,23,23,Y,60+,Female,"1,737.92"
Dec 23 - Nov 24,Y56,LONDON,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,13,12,Y,60+,Male,"1,013.78"
Dec 23 - Nov 24,Y56,LONDON,0601023AI,Lixisenatide,0601023AIBB,Lyxumia,1,1,Y,40-49,Female,57.93
Dec 23 - Nov 24,Y56,LONDON,0601023AI,Lixisenatide,0601023AIBB,Lyxumia,2,2,Y,50-59,Male,231.72
Dec 23 - Nov 24,Y56,LONDON,0601023AI,Lixisenatide,0601023AIBB,Lyxumia,8,6,Y,60+,Female,811.02
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,3,0,N,18-29,Not Known (not recorded),293
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,3,0,N,50-59,Not Known (not recorded),439.5
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,7,0,N,60+,Not Known (not recorded),659.25
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,131,121,Y,18-29,Female,"11,720.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,107,85,Y,18-29,Male,"9,852.12"
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,894,736,Y,30-39,Female,"74,879.82"
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,485,401,Y,30-39,Male,"39,573.32"
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,"2,910","2,342",Y,40-49,Female,"250,624.91"
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,"2,681","2,199",Y,40-49,Male,"237,055.41"
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,"6,691","5,579",Y,50-59,Female,"603,799.98"
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,"5,527","4,597",Y,50-59,Male,"493,064.18"
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,"12,598","10,276",Y,60+,Female,"1,145,244.96"
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,5,4,Y,60+,Indeterminate (unable to be classified as either male or female),586
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,"12,028","9,972",Y,60+,Male,"1,121,988.51"
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,1,0,N,30-39,Not Known (not recorded),73.25
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,1,0,N,40-49,Not Known (not recorded),73.25
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,9,0,N,50-59,Not Known (not recorded),"1,098.75"
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,18,0,N,60+,Not Known (not recorded),"1,538.25"
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,273,227,Y,18-29,Female,"24,099.25"
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,195,171,Y,18-29,Male,"18,404.06"
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,"1,225","1,006",Y,30-39,Female,"104,674.25"
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,822,705,Y,30-39,Male,"71,546.93"
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,"4,168","3,430",Y,40-49,Female,"374,270.99"
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,"3,781","3,026",Y,40-49,Male,"336,290.47"
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,"11,328","9,343",Y,50-59,Female,"1,042,164.54"
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,"10,250","8,349",Y,50-59,Male,"954,081.25"
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,"21,672","17,698",Y,60+,Female,"2,021,351.90"
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,"22,757","18,700",Y,60+,Male,"2,192,903.56"
Dec 23 - Nov 24,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,1,1,Y,60+,Not Known (not recorded),73.25
Dec 23 - Nov 24,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUAA,Ins degludec/liraglutide,6,5,Y,40-49,Female,573.18
Dec 23 - Nov 24,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUAA,Ins degludec/liraglutide,3,3,Y,50-59,Female,955.29
Dec 23 - Nov 24,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUAA,Ins degludec/liraglutide,8,6,Y,50-59,Male,"2,229.04"
Dec 23 - Nov 24,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUAA,Ins degludec/liraglutide,13,12,Y,60+,Female,"2,006.17"
Dec 23 - Nov 24,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUAA,Ins degludec/liraglutide,11,10,Y,60+,Male,"4,139.61"
Dec 23 - Nov 24,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,11,8,Y,18-29,Female,"1,114.52"
Dec 23 - Nov 24,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,14,11,Y,18-29,Male,"1,528.49"
Dec 23 - Nov 24,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,20,12,Y,30-39,Female,"2,133.50"
Dec 23 - Nov 24,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,5,5,Y,30-39,Male,764.24
Dec 23 - Nov 24,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,79,64,Y,40-49,Female,"9,744.08"
Dec 23 - Nov 24,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,39,37,Y,40-49,Male,"5,540.74"
Dec 23 - Nov 24,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,128,107,Y,50-59,Female,"16,781.48"
Dec 23 - Nov 24,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,76,69,Y,50-59,Male,"11,973.13"
Dec 23 - Nov 24,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,306,271,Y,60+,Female,"43,657.31"
Dec 23 - Nov 24,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,323,245,Y,60+,Male,"45,408.50"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,1,0,N,30-39,Not Known (not recorded),219.75
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,2,0,N,40-49,Not Known (not recorded),146.5
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,12,0,N,50-59,Not Known (not recorded),"1,670.12"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,13,0,N,60+,Not Known (not recorded),"2,270.75"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,718,594,Y,18-29,Female,"84,281.58"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,317,264,Y,18-29,Male,"36,104.94"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,"2,081","1,739",Y,30-39,Female,"249,160.09"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,"1,132",966,Y,30-39,Male,"135,856.93"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,"5,508","4,584",Y,40-49,Female,"626,697.98"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,"3,067","2,597",Y,40-49,Male,"347,205.11"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,"10,062","8,376",Y,50-59,Female,"1,162,924.84"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,"7,719","6,412",Y,50-59,Male,"912,021.20"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,"14,959","12,459",Y,60+,Female,"1,686,486.31"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,"15,278","12,881",Y,60+,Male,"1,787,710.40"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,2,0,N,18-29,Not Known (not recorded),146.5
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,1,0,N,30-39,Not Known (not recorded),73.25
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,2,0,N,40-49,Not Known (not recorded),219.75
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,4,0,N,50-59,Not Known (not recorded),"1,318.50"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,8,0,N,60+,Not Known (not recorded),"1,025.50"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,410,348,Y,18-29,Female,"44,829.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,214,187,Y,18-29,Male,"23,366.75"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,"1,408","1,195",Y,30-39,Female,"165,618.25"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,968,797,Y,30-39,Male,"107,531.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,"3,830","3,203",Y,40-49,Female,"436,423.50"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,"2,549","2,161",Y,40-49,Male,"285,089.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,"8,026","6,675",Y,50-59,Female,"905,150.25"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,"5,944","4,948",Y,50-59,Male,"695,875.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,"10,817","9,113",Y,60+,Female,"1,272,425.75"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,"10,157","8,527",Y,60+,Male,"1,179,764.50"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,3,3,Y,60+,Not Known (not recorded),659.25
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBD,Wegovy,1,0,N,60+,Not Known (not recorded),124.53
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBD,Wegovy,19,18,Y,18-29,Female,"3,406.16"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBD,Wegovy,14,10,Y,18-29,Male,"1,604.18"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBD,Wegovy,68,59,Y,30-39,Female,"8,702.15"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBD,Wegovy,28,24,Y,30-39,Male,"5,574.37"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBD,Wegovy,141,114,Y,40-49,Female,"16,049.18"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBD,Wegovy,64,52,Y,40-49,Male,"12,350.09"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBD,Wegovy,207,177,Y,50-59,Female,"29,270.93"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBD,Wegovy,124,99,Y,50-59,Male,"19,997.33"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBD,Wegovy,268,232,Y,60+,Female,"36,222.28"
Dec 23 - Nov 24,Y56,LONDON,0601023AW,Semaglutide,0601023AWBD,Wegovy,220,181,Y,60+,Male,"34,010.32"
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZAA,Tirzepatide,1,0,N,30-39,Not Known (not recorded),92
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZAA,Tirzepatide,1,0,N,40-49,Not Known (not recorded),366
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZAA,Tirzepatide,3,0,N,50-59,Not Known (not recorded),291
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZAA,Tirzepatide,4,0,N,60+,Not Known (not recorded),644
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZAA,Tirzepatide,336,280,Y,18-29,Female,"45,587.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZAA,Tirzepatide,138,110,Y,18-29,Male,"18,762.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZAA,Tirzepatide,918,763,Y,30-39,Female,"112,423.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZAA,Tirzepatide,402,342,Y,30-39,Male,"50,562.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZAA,Tirzepatide,"1,637","1,366",Y,40-49,Female,"207,321.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZAA,Tirzepatide,"1,158",954,Y,40-49,Male,"148,350.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZAA,Tirzepatide,"3,164","2,638",Y,50-59,Female,"403,663.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZAA,Tirzepatide,"2,251","1,906",Y,50-59,Male,"273,862.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZAA,Tirzepatide,"4,011","3,296",Y,60+,Female,"505,778.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZAA,Tirzepatide,"3,799","3,192",Y,60+,Male,"493,298.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZBB,Mounjaro,6,0,N,40-49,Not Known (not recorded),567
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZBB,Mounjaro,2,0,N,50-59,Not Known (not recorded),127
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZBB,Mounjaro,8,0,N,60+,Not Known (not recorded),843
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZBB,Mounjaro,323,285,Y,18-29,Female,"38,137.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZBB,Mounjaro,106,87,Y,18-29,Male,"12,733.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZBB,Mounjaro,"1,121",930,Y,30-39,Female,"128,511.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZBB,Mounjaro,599,511,Y,30-39,Male,"69,611.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZBB,Mounjaro,"2,612","2,175",Y,40-49,Female,"296,417.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZBB,Mounjaro,"1,614","1,356",Y,40-49,Male,"184,810.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZBB,Mounjaro,"4,412","3,668",Y,50-59,Female,"515,553.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZBB,Mounjaro,"3,432","2,848",Y,50-59,Male,"402,231.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZBB,Mounjaro,"5,455","4,529",Y,60+,Female,"626,928.00"
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZBB,Mounjaro,1,1,Y,60+,Indeterminate (unable to be classified as either male or female),92
Dec 23 - Nov 24,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZBB,Mounjaro,"5,266","4,382",Y,60+,Male,"617,405.00"
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0AA,Exenatide,1,0,N,60+,Not Known (not recorded),146.72
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0AA,Exenatide,10,10,Y,18-29,Female,"1,143.05"
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0AA,Exenatide,12,11,Y,18-29,Male,880.32
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0AA,Exenatide,18,14,Y,30-39,Female,"1,393.84"
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0AA,Exenatide,12,12,Y,30-39,Male,880.32
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0AA,Exenatide,47,37,Y,40-49,Female,"4,505.66"
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0AA,Exenatide,43,39,Y,40-49,Male,"6,361.84"
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0AA,Exenatide,199,169,Y,50-59,Female,"19,295.36"
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0AA,Exenatide,104,90,Y,50-59,Male,"11,515.80"
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0AA,Exenatide,516,450,Y,60+,Female,"66,022.16"
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0AA,Exenatide,539,477,Y,60+,Male,"60,607.19"
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BB,Byetta,4,4,Y,30-39,Female,491.34
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BB,Byetta,4,4,Y,40-49,Female,655.12
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BB,Byetta,8,7,Y,40-49,Male,"3,275.60"
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BB,Byetta,9,9,Y,50-59,Female,"1,883.47"
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BB,Byetta,15,12,Y,50-59,Male,"2,211.03"
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BB,Byetta,21,21,Y,60+,Female,"3,193.71"
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BB,Byetta,45,35,Y,60+,Male,"5,077.18"
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BC,Bydureon,14,12,Y,30-39,Female,"1,247.12"
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BC,Bydureon,15,14,Y,30-39,Male,"1,760.64"
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BC,Bydureon,96,79,Y,40-49,Female,"7,482.72"
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BC,Bydureon,98,80,Y,40-49,Male,"8,216.32"
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BC,Bydureon,243,203,Y,50-59,Female,"21,274.40"
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BC,Bydureon,181,164,Y,50-59,Male,"15,625.68"
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BC,Bydureon,624,518,Y,60+,Female,"54,909.96"
Dec 23 - Nov 24,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BC,Bydureon,524,444,Y,60+,Male,"45,868.34"
Dec 23 - Nov 24,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,1,0,N,50-59,Not Known (not recorded),78.48
Dec 23 - Nov 24,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,1,0,N,60+,Not Known (not recorded),156.96
Dec 23 - Nov 24,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,3,2,Y,18-29,Female,235.44
Dec 23 - Nov 24,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,12,12,Y,30-39,Female,"1,020.24"
Dec 23 - Nov 24,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,12,10,Y,30-39,Male,"1,294.92"
Dec 23 - Nov 24,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,42,40,Y,40-49,Female,"3,767.04"
Dec 23 - Nov 24,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,30,24,Y,40-49,Male,"2,707.56"
Dec 23 - Nov 24,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,92,86,Y,50-59,Female,"9,927.72"
Dec 23 - Nov 24,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,63,54,Y,50-59,Male,"6,317.64"
Dec 23 - Nov 24,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,145,129,Y,60+,Female,"18,246.60"
Dec 23 - Nov 24,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,277,235,Y,60+,Male,"31,313.52"
Dec 23 - Nov 24,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,1,0,N,50-59,Not Known (not recorded),78.48
Dec 23 - Nov 24,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,4,0,N,60+,Not Known (not recorded),313.92
Dec 23 - Nov 24,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,3,3,Y,18-29,Female,392.4
Dec 23 - Nov 24,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,16,13,Y,30-39,Female,"1,294.92"
Dec 23 - Nov 24,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,5,4,Y,30-39,Male,706.32
Dec 23 - Nov 24,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,61,47,Y,40-49,Female,"5,689.80"
Dec 23 - Nov 24,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,48,39,Y,40-49,Male,"5,886.00"
Dec 23 - Nov 24,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,100,87,Y,50-59,Female,"10,123.92"
Dec 23 - Nov 24,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,145,125,Y,50-59,Male,"14,401.08"
Dec 23 - Nov 24,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,307,263,Y,60+,Female,"34,178.04"
